tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,target_norm,text_clean
".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Negative emotion,Apple iPhone,i have a 3g iphone after 3 hrs tweeting at rise austin it was dead i need to upgrade plugin stations at sxsw
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion,Apple iOS App,know about awesome ipad iphone app that you'll likely appreciate for its design also they're giving free ts at sxsw
@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive emotion,Apple iPad,can not wait for ipad 2 also they should sale them down at sxsw
@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Negative emotion,Apple iOS App,i hope this year's festival isn't as crashy as this year's iphone app sxsw
"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,Positive emotion,Google,great stuff on fri sxsw marissa mayer google tim o'reilly tech books conferences amp matt mullenweg wordpress
@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,,No emotion toward brand or product,,new ipad apps for speechtherapy and communication are showcased at the sxsw conference iear edchat asd
,,No emotion toward brand or product,,
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,Android,sxsw is just starting ctia is around the corner and googleio is only a hop skip and a jump from there good time to be an android fan
Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,Positive emotion,Apple iOS App,beautifully smart and simple idea rt wrote about our hollergram ipad app for sxsw
Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,Positive emotion,Apple,counting down the days to sxsw plus strong canadian dollar means stock up on apple gear
Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,Positive emotion,Android,excited to meet the at sxsw so i can show them my sprint galaxy s still running android 2 1 fail
Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Android App,Positive emotion,Android,find amp start impromptu parties at sxsw with i can't wait til the android app comes out
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",Android App,Positive emotion,Android,foursquare ups the game just in time for sxsw still prefer by far best looking android app to date
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,Other Google product or service,Positive emotion,Other Google product or service,gotta love this sxsw google calendar featuring top parties show cases to check out rt via gt
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,Positive emotion,Apple iOS App,great sxsw ipad app from
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,Positive emotion,Apple iOS App,haha awesomely rad ipad app by hollergram sxsw
Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,,No emotion toward brand or product,,holler gram for ipad on the itunes app store via sxsw
